Company,Ticker,,,,,,,,,,,,,,,,,,,
Nvidia Corporation,NVDA,,End,1/8/21,,,,,,,,,,,,,,,,
Pinduoduo Inc,PDD,,Start,1/8/19,,,,,,,,,,,,,,,,
Netflix Inc,NFLX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,NVDA,,PDD,,NFLX,,,,,,,,,,,,,,,
,Closing Price,Volume,Closing Price,Volume,Closing Price,Volume,,,,,,,,,,,,,,
1/8/2019 16:00:00,139.83,19650429,24,3355000,320.27,15359180,,,Closing Prices,,,,,,Closing Prices,,,,,
1/9/2019 16:00:00,142.58,15431475,25.54,7322212,319.96,13343152,,,NVDA,,PDD,,NFLX,,NVDA,,PDD,,NFLX,
1/10/2019 16:00:00,145.23,13078906,26.38,4956502,324.66,13472475,,,Date,Close,Date,Close,Date,Close,Date,Volume,Date,Volume,Date,Volume
8/28/2020 16:00:00,525.91,13428963,89.2,6490529,523.89,4417517,,,8/25/2020 16:00:00,510,8/25/2020 16:00:00,87.24,8/25/2020 16:00:00,490.58,8/25/2020 16:00:00,7226920,8/25/2020 16:00:00,16341462,8/25/2020 16:00:00,5727721
8/31/2020 16:00:00,534.98,12521030,88.94,8205637,529.56,4941409,,,8/26/2020 16:00:00,510.92,8/26/2020 16:00:00,89.25,8/26/2020 16:00:00,547.53,8/26/2020 16:00:00,8031073,8/26/2020 16:00:00,11227551,8/26/2020 16:00:00,20373681
9/1/2020 16:00:00,552.84,12811849,91.36,10252748,556.55,9581907,,,8/27/2020 16:00:00,505.13,8/27/2020 16:00:00,88.82,8/27/2020 16:00:00,526.27,8/27/2020 16:00:00,7940073,8/27/2020 16:00:00,7678254,8/27/2020 16:00:00,9062912
9/2/2020 16:00:00,573.86,21850322,90.29,7623274,552.84,5886930,,,8/28/2020 16:00:00,525.91,8/28/2020 16:00:00,89.2,8/28/2020 16:00:00,523.89,8/28/2020 16:00:00,13428963,8/28/2020 16:00:00,6490529,8/28/2020 16:00:00,4417517
9/3/2020 16:00:00,520.62,23628151,85.76,8139093,525.75,9071089,,,8/31/2020 16:00:00,534.98,8/31/2020 16:00:00,88.94,8/31/2020 16:00:00,529.56,8/31/2020 16:00:00,12521030,8/31/2020 16:00:00,8205637,8/31/2020 16:00:00,4941409
9/4/2020 16:00:00,504.9,36592071,85.04,8390754,516.05,8270118,,,9/1/2020 16:00:00,552.84,9/1/2020 16:00:00,91.36,9/1/2020 16:00:00,556.55,9/1/2020 16:00:00,12811849,9/1/2020 16:00:00,10252748,9/1/2020 16:00:00,9581907
9/8/2020 16:00:00,476.52,19893237,81.71,8166460,507.02,5572684,,,9/2/2020 16:00:00,573.86,9/2/2020 16:00:00,90.29,9/2/2020 16:00:00,552.84,9/2/2020 16:00:00,21850322,9/2/2020 16:00:00,7623274,9/2/2020 16:00:00,5886930
9/9/2020 16:00:00,508.6,18404957,84.65,6250539,500.19,6848127,,,9/3/2020 16:00:00,520.62,9/3/2020 16:00:00,85.76,9/3/2020 16:00:00,525.75,9/3/2020 16:00:00,23628151,9/3/2020 16:00:00,8139093,9/3/2020 16:00:00,9071089
9/10/2020 16:00:00,492.47,17467111,83.87,6663596,480.67,6240181,,,9/4/2020 16:00:00,504.9,9/4/2020 16:00:00,85.04,9/4/2020 16:00:00,516.05,9/4/2020 16:00:00,36592071,9/4/2020 16:00:00,8390754,9/4/2020 16:00:00,8270118
9/11/2020 16:00:00,486.58,15923172,84.74,5492457,482.03,5035200,,,9/8/2020 16:00:00,476.52,9/8/2020 16:00:00,81.71,9/8/2020 16:00:00,507.02,9/8/2020 16:00:00,19893237,9/8/2020 16:00:00,8166460,9/8/2020 16:00:00,5572684
