Date,Closing Price,Volume
7/10/2020 16:00,548.73,21605587
7/13/2020 16:00,525.5,18399020
7/14/2020 16:00,524.88,15083300
7/15/2020 16:00,523.26,10066652
7/16/2020 16:00,527.39,24498994
7/17/2020 16:00,492.99,24991352
7/20/2020 16:00,502.41,11940306
7/21/2020 16:00,490.1,9127218
7/22/2020 16:00,489.82,6954078
7/23/2020 16:00,477.58,7722034
7/24/2020 16:00,480.45,7746247
7/27/2020 16:00,495.65,7863069
7/28/2020 16:00,502.11,38619
7/29/2020 16:00,484.48,6611769
7/30/2020 16:00,485.8,6608569
7/31/2020 16:00,488.88,5924310
8/3/2020 16:00,498.62,5876190
8/4/2020 16:00,509.64,5607968
8/5/2020 16:00,502.11,4313526
8/6/2020 16:00,509.08,3725861
8/7/2020 16:00,494.73,5910348
8/10/2020 16:00,483.38,4691185
8/11/2020 16:00,466.93,7329226
8/12/2020 16:00,475.47,5441243
8/13/2020 16:00,481.33,3008933
8/14/2020 16:00,482.68,2943487
8/17/2020 16:00,482.35,2423545
8/18/2020 16:00,491.87,3505518
8/19/2020 16:00,484.53,3156218
8/20/2020 16:00,497.9,5132480
8/21/2020 16:00,492.31,3921293
8/24/2020 16:00,488.81,4762183
8/25/2020 16:00,490.58,5727721
8/26/2020 16:00,547.53,20373681
8/27/2020 16:00,526.27,9062912
8/28/2020 16:00,523.89,4417517
8/31/2020 16:00,529.56,4941409
9/1/2020 16:00,556.55,9581907
9/2/2020 16:00,552.84,5886930
9/3/2020 16:00,525.75,9071089
9/4/2020 16:00,516.05,8270118
9/8/2020 16:00,507.02,5572684
9/9/2020 16:00,500.19,6848127
9/10/2020 16:00,480.67,6240181
9/11/2020 16:00,482.03,5035200
9/14/2020 16:00,476.26,7359126
9/15/2020 16:00,495.99,5336992
9/16/2020 16:00,483.86,4401412
9/17/2020 16:00,470.2,5379301
9/18/2020 16:00,469.96,6717711
9/21/2020 16:00,487.35,5457539
9/22/2020 16:00,491.17,3482324
9/23/2020 16:00,470.61,3726423
9/24/2020 16:00,473.08,3727201
9/25/2020 16:00,482.88,3769436
9/28/2020 16:00,490.65,4773497
9/29/2020 16:00,493.48,3543193
9/30/2020 16:00,500.03,4634111
10/1/2020 16:00,527.51,8153710
10/2/2020 16:00,503.06,6071165
10/5/2020 16:00,520.65,4088069
10/6/2020 16:00,505.87,4199034
